response,predictor,category,beta_mean_solo,beta_mean_adj,beta_trend_adj,p_trend,n
Hill q1,Canopy_Ht,Structural,-0.08262369240017342,-0.07946291607114137,-0.08737588157147753,0.04402798552025228,472
Hill q1,Max_Ht,Structural,0.0047533493534890345,-0.0038500325732131685,-0.06877487232098592,0.1826587558178272,472
Hill q1,Rumple,Structural,-0.30048226046146304,-0.26636413933250164,0.15581996370994497,0.0012087668050670944,472
Hill q1,Rugosity,Structural,-0.09564973941691393,-0.09823169110178205,-0.016798163191791362,0.7011894873667004,472
Hill q1,Deep_Gap,Structural,-0.361892711874322,-0.3407348360244636,0.06704430655760356,0.14340525246571464,472
Hill q1,Vert_SD,Structural,0.022151673175943444,0.021346898649910483,-0.007859285172136948,0.8540847723659042,472
Hill q1,Vert_CV,Structural,0.13417810662089186,0.13075592483935555,0.05414024463672738,0.1603748057016089,472
Hill q1,Gini,Structural,0.1674688335841869,0.16287275440337567,0.05604042698638978,0.1438787082417012,472
Hill q1,VCI,Structural,0.2993041426056738,0.29969142916856367,0.002325378424333051,0.9570718942102022,472
Hill q1,FHD,Structural,0.14943987437673267,0.13818138218978893,-0.07537174914692318,0.12176389306209374,471
Hill q1,LAI,Structural,0.35447713108030016,0.33515653004831153,-0.07252941050297165,0.1131521258303385,472
Hill q1,Q95,Structural,-0.022188524275721055,-0.026720726049758635,-0.07548571494705449,0.11836269596860706,472
Hill q1,Ht_Ratio,Structural,-0.10036558548027452,-0.10205723148617507,0.17338198535623126,0.00012416400938230945,472
Hill q2,Canopy_Ht,Structural,-0.07174662121528994,-0.0689788479142537,-0.07651178286383153,0.08993934036828426,472
Hill q2,Max_Ht,Structural,0.017068225718508558,0.00890151168036941,-0.06528417778499317,0.22292962628544388,472
Hill q2,Rumple,Structural,-0.29091846387154463,-0.2664339876516731,0.1249435055574328,0.012973899204952441,472
Hill q2,Rugosity,Structural,-0.08297562656758159,-0.0870567747646584,-0.026551927298315126,0.5593020011446427,472
Hill q2,Deep_Gap,Structural,-0.355348962103055,-0.33865686045593535,0.052893323879091514,0.2681319712370698,472
Hill q2,Vert_SD,Structural,0.03958520133328577,0.03748161603633453,-0.02054324061939426,0.6429965366589354,472
Hill q2,Vert_CV,Structural,0.13913730693175072,0.13710457298488254,0.03215864036171088,0.42230786023892775,472
Hill q2,Gini,Structural,0.17225823319170125,0.16932339069552935,0.03578481139096619,0.3692393068834763,472
Hill q2,VCI,Structural,0.302191620035864,0.30246674290013764,0.0016519157490229308,0.9706806803152742,472
Hill q2,FHD,Structural,0.15690198638522201,0.14771438109727172,-0.06150787063896496,0.22398793153397611,471
Hill q2,LAI,Structural,0.36851154241439593,0.3562097547092125,-0.046180830964440304,0.33177914097265504,472
Hill q2,Q95,Structural,-0.009389496363712653,-0.013464493928145232,-0.06787078773076445,0.17636237902136243,472
Hill q2,Ht_Ratio,Structural,-0.09224393753770624,-0.09368072495952333,0.1472607477336211,0.0017884286267556278,472
Turnover(rare),Canopy_Ht,Structural,-0.053837923598619684,-0.04562325439390228,-0.012486525136815018,0.7513289307394965,432
Turnover(rare),Max_Ht,Structural,-0.015675735534107522,-0.01627454094428519,-0.06305502939947673,0.16831003536215572,432
Turnover(rare),Rumple,Structural,-0.14071264402992634,-0.1220995658215939,0.0870367241625304,0.04538082794292776,432
Turnover(rare),Rugosity,Structural,-0.05415682549793617,-0.07740659159538055,-0.1190342325264256,0.001818549623073916,432
Turnover(rare),Deep_Gap,Structural,-0.15580643554913406,-0.11751545348197776,0.07843522816330624,0.05755869364318528,432
Turnover(rare),Vert_SD,Structural,0.029915632083977853,0.007335768229893994,-0.12122294857656112,0.0009355668572938308,432
Turnover(rare),Vert_CV,Structural,0.1018979312609441,0.10892005130669179,-0.10448815800665243,0.0027880918670460603,432
Turnover(rare),Gini,Structural,0.1186745126033393,0.13135105571449854,-0.10214939977251224,0.003655713810090922,432
Turnover(rare),VCI,Structural,0.14314486658143916,0.12968896444689781,-0.1018308452302735,0.008909715220828103,432
Turnover(rare),FHD,Structural,0.008595176424110519,-0.00780934263675559,-0.07354765972179933,0.09734757365279055,432
Turnover(rare),LAI,Structural,0.05384203585748081,0.07165263855052582,0.056832095460568215,0.1759542627285352,432
Turnover(rare),Q95,Structural,-0.023463060375099886,-0.033018137566388606,-0.07373544849037865,0.09090552247148864,432
Turnover(rare),Ht_Ratio,Structural,0.05068142841195042,0.055392042863382174,0.08155348191159521,0.04321991488796989,432
Turnover(rare),NDVI,VI,-0.0905453049011696,-0.08163685043312843,0.012253484231702097,0.7617928429757383,297
Turnover(rare),EVI,VI,-0.1207837846431836,-0.08133809649354368,-0.04694664547326956,0.262606461256372,297
Turnover(rare),ARVI,VI,0.007796930592279159,0.005307040992883125,-0.048902213779468365,0.21298604544201616,297
Turnover(rare),SAVI,VI,-0.09441492547733196,-0.16204012255065445,-0.03821138436447322,0.34281756165099575,297
Nestedness(rare),Canopy_Ht,Structural,0.23642924392739303,0.23822753356792536,0.06244736942489844,0.25475884965793616,432
Nestedness(rare),Max_Ht,Structural,0.14836780932828456,0.1674921828546832,0.10903363096743826,0.09475381310156857,432
Nestedness(rare),Rumple,Structural,-0.07647654271300616,-0.08601509078383791,-0.044603260570858484,0.47448602001910767,432
Nestedness(rare),Rugosity,Structural,0.1680247418759322,0.19549433833444543,0.14063893454004106,0.009227837029319787,432
Nestedness(rare),Deep_Gap,Structural,0.03866127731963839,0.0370019655495268,-0.005006991896157197,0.9326848031425666,432
Nestedness(rare),Vert_SD,Structural,0.05489370820991743,0.04558624121246286,0.11109400321983591,0.030283938805502474,432
Nestedness(rare),Vert_CV,Structural,-0.2792655229528559,-0.286959198822117,0.11448081414759101,0.01949695977067285,432
Nestedness(rare),Gini,Structural,-0.31634181849145276,-0.31268652666541635,0.10680208270201977,0.027813123249879227,432
Nestedness(rare),VCI,Structural,-0.2557608760087037,-0.24925911652402835,0.04970443033147831,0.3675411957750292,432
Nestedness(rare),FHD,Structural,0.07353913215868788,0.09984800419438501,0.11795261787111813,0.0605729970701729,432
Nestedness(rare),LAI,Structural,0.07307311766298323,0.028759736510689804,-0.1414001733254719,0.01725099152355392,432
Nestedness(rare),Q95,Structural,0.1687860117128438,0.18481268469179268,0.1236760202197853,0.04388361681679251,432
Nestedness(rare),Ht_Ratio,Structural,-0.22868657604862636,-0.24153515489611338,-0.2224436649256036,7.210668591844554e-05,432
Nestedness(rare),NDVI,VI,-0.11233179983279026,-0.10471184754808674,-0.017229873013942146,0.7847958008912589,297
Nestedness(rare),EVI,VI,-0.050576841813180236,-0.05323667236095038,-0.00860217240609321,0.8956985914455229,297
Nestedness(rare),ARVI,VI,-0.15134334489306306,-0.15035486543729762,0.01941404698191753,0.7509419182405778,297
Nestedness(rare),SAVI,VI,-0.04825538538215653,-0.030153914787367706,0.05833070813490137,0.5346186324829166,297
