plotID,year,nbr
ABBY_063,2016,0.7180759094930491
ABBY_068,2016,0.707947551255517
ABBY_065,2016,0.6994184228316159
ABBY_067,2016,0.6690417331556219
ABBY_066,2016,0.6259952974611739
ABBY_061,2016,0.7463102093734941
ABBY_070,2016,0.7010048911358217
ABBY_062,2016,0.7405845035969373
ABBY_064,2016,0.6818515394280964
ABBY_069,2016,0.7278660117515497
ABBY_075,2016,0.7079095452441627
ABBY_074,2016,0.7495002979363743
ABBY_073,2016,0.7259980727994224
ABBY_076,2016,0.6862488345804448
ABBY_004,2016,0.27202195844312355
ABBY_009,2016,0.3613217181292066
ABBY_011,2016,0.26302982676258857
ABBY_013,2016,0.3004731372664834
ABBY_023,2016,0.7408858609094493
ABBY_010,2016,0.763640364934017
ABBY_018,2016,0.08070622401164113
ABBY_003,2016,0.7460258127834304
ABBY_012,2016,0.421005522348751
ABBY_005,2016,0.6248048198160153
ABBY_016,2016,0.7307246856058406
ABBY_008,2016,0.6661135707402377
ABBY_017,2016,0.7817698153133326
ABBY_014,2016,0.7213775169413393
ABBY_001,2016,0.6754669108411723
ABBY_019,2016,0.6985214654026483
ABBY_006,2016,0.7457944356205167
ABBY_002,2016,0.34761734483204115
ABBY_007,2016,0.6875507549208225
ABBY_025,2016,0.7085085992670143
ABBY_015,2016,0.19586304952031017
ABBY_077,2016,0.37540089315323444
BART_012,2016,0.6989925536361054
BART_001,2016,0.7030909979680288
BART_005,2016,0.7255540040558054
BART_044,2016,0.6242057893610646
BART_037,2016,0.646597431173385
BART_073,2016,0.6768280921094865
BART_074,2016,0.6209109190461438
BART_075,2016,0.6334220092849485
BART_042,2016,0.6878863208280886
BART_072,2016,0.6402296822733228
BART_046,2016,0.6466089857166464
BART_036,2016,0.6384592950616751
BART_051,2016,0.6404202680957545
BART_041,2016,0.6342503962337919
BART_034,2016,0.6491875686847112
BART_039,2016,0.64366786283618
BART_050,2016,0.6432505775078446
BART_040,2016,0.6831687552188709
BART_071,2016,0.6885330987609785
BART_070,2016,0.6438464334079934
BART_033,2016,0.6484925512583865
BART_047,2016,0.6543278920091018
BART_032,2016,0.6611938600514293
BART_015,2016,0.6797098000915981
BART_016,2016,0.6679773418326356
BART_028,2016,0.6640599834671297
BART_010,2016,0.7154203917461703
BART_013,2016,0.6651139313524421
BART_026,2016,0.6880967741951604
BART_006,2016,0.6727344289093333
BART_023,2016,0.6662514006232357
BART_002,2016,0.7209807001155244
BART_018,2016,0.6365206045090989
BART_003,2016,0.7119022841062279
BART_024,2016,0.6590698693249677
BART_011,2016,0.6187115523913135
BART_025,2016,0.685120667877807
BART_007,2016,0.6464317732566112
BART_027,2016,0.6827029946263518
BART_004,2016,0.6745827382749267
BART_019,2016,0.6812231209183086
BLAN_042,2016,0.5686474123213551
BLAN_056,2016,0.5780553458145952
BLAN_034,2016,0.18979854799224882
BLAN_043,2016,0.1843544567165263
