plotID,siteID,Canopy_Ht_mean,Canopy_Ht_sd,Canopy_Ht_trend,Canopy_Ht_nyears,Max_Ht_mean,Max_Ht_sd,Max_Ht_trend,Max_Ht_nyears,Rumple_mean,Rumple_sd,Rumple_trend,Rumple_nyears,Rugosity_mean,Rugosity_sd,Rugosity_trend,Rugosity_nyears,Deep_Gap_mean,Deep_Gap_sd,Deep_Gap_trend,Deep_Gap_nyears,Vert_SD_mean,Vert_SD_sd,Vert_SD_trend,Vert_SD_nyears,Vert_CV_mean,Vert_CV_sd,Vert_CV_trend,Vert_CV_nyears,Gini_mean,Gini_sd,Gini_trend,Gini_nyears,VCI_mean,VCI_sd,VCI_trend,VCI_nyears,FHD_mean,FHD_sd,FHD_trend,FHD_nyears,LAI_mean,LAI_sd,LAI_trend,LAI_nyears,Q95_mean,Q95_sd,Q95_trend,Q95_nyears,Ht_Ratio_mean,Ht_Ratio_sd,Ht_Ratio_trend,Ht_Ratio_nyears,Hill_q1,Hill_q2,sample_coverage,richness_pooled,abundance_pooled,LCBD_bray,LCBD_turnover,LCBD_nestedness,domain,LCBD_bray_rare,LCBD_turnover_rare,LCBD_nestedness_rare
ABBY_001,ABBY,26.74262238400323,0.8392879891878611,0.1813163767660284,7,49.78328602654593,1.0551288598874664,0.3160548127455518,7,1.606186829507351,0.0254809961248392,0.0013412543588635,7,15.105240574904853,0.4143338480879264,0.1185342795242463,7,0.0300989690502839,0.0056469524025597,-0.0006713015785221,7,14.603760719299316,0.4496126121481015,0.1289728971230501,7,0.5706340628010886,0.0256075738171634,0.0021892208606004,7,0.312431283960385,0.0136894252102859,0.0008783344787712,7,0.889306515455246,0.0055290512173421,-0.0004180956933367,7,3.099625989794731,0.0530439200216621,0.0009467747342379,7,2.7795286497899463,0.1885038787378474,0.0170439826270748,7,44.86753439903259,1.0418799951176194,0.3423001972926145,7,28.33393315758024,2.235700360475999,0.117641510129664,7,2.2173474522732106,1.8148148148148149,0.7551020408163266,3.0,7.0,,,,D16,,,
ABBY_002,ABBY,2.163896475846951,1.1883195793052703,0.4108540316602226,7,5.7094739103423695,3.113894084795597,1.075136182485202,7,1.886491900043828,0.1361684311581331,-0.0429655226496602,7,1.286540994753263,0.7470892171730062,0.2583555285711207,7,0.419193864866559,0.2721167685743675,-0.0883411227730829,7,1.151774310394303,0.6595016854245376,0.2284967909012571,7,0.5126197639811825,0.1221385565720703,0.0229011483307432,7,0.2823415535635182,0.0694084140734026,0.0149029832053391,7,0.7830897298242364,0.1153553722291123,0.0365477742444228,7,1.0714466653350323,0.4730861072298456,0.1812135131458441,6,0.5642169049048485,0.48680539300642,0.1857433656213106,6,4.27441505833969,2.3308405118202207,0.809193384935918,7,99.95375640051704,0.1223490639603476,-0.0280669245416718,7,1.8898815748423097,1.7999999999999998,1.0,2.0,9.0,0.6692704772131094,0.1851851851851851,0.2215167548500881,D16,,,
ABBY_003,ABBY,6.69009526570638,2.4918153862560724,0.8195759809535483,6,13.08627918859323,3.614434556350834,1.1728007793426511,6,1.504444365700086,0.1654578712117151,-0.0501073048166606,6,2.80511611700058,0.518697833298044,0.1691889221901479,6,0.0769873402362767,0.0799254767084308,-0.020473083616905,6,2.526676346858342,0.4856827232526465,0.156014951188927,6,0.4132257446957131,0.0952509287460432,-0.0300339680246036,6,0.2349792237703999,0.0552223002583726,-0.0174033933663335,6,0.8892945802460114,0.0173003507493713,-0.0051421361125033,6,2.051025322328011,0.3806495871706165,0.1217454827350119,6,2.3069274003307023,0.9785220311773402,0.3110401951910361,6,10.678624724348388,3.0916226947386343,1.015506602499796,6,81.4693334698677,19.068964973306752,-6.022159400193588,6,1.0,1.0,1.0,1.0,16.0,0.3670376208247486,0.0,0.1543209876543209,D16,0.0724,0.0,0.0912888888888888
ABBY_004,ABBY,2.4066844637904845,1.3211491374073263,0.4573737037448868,7,5.968973460740277,3.2537959380313475,1.1236561379271608,7,1.8937603384256363,0.2152068263921713,-0.0718716019710708,7,1.3518327670837087,0.7536197271945041,0.2601683253363162,7,0.4043868658232635,0.2897817256447791,-0.0962168337882232,7,1.1901073110245524,0.6874371285675607,0.2377178337604439,7,0.4778947207367136,0.1144838846620684,0.0220039057331823,7,0.2653178166952871,0.0659127079608647,0.0136288635095362,7,0.8047624256994043,0.0953268455470706,0.027900594453505,7,1.111813303196069,0.5097505331321133,0.1968936386230317,6,0.7030764152295887,0.5827333374557865,0.2234716155077331,6,4.534572805109479,2.477523309611417,0.8575221774694086,7,99.89448990140644,0.2791534816845069,-0.0640379211117077,7,1.0,1.0,1.0,1.0,15.0,0.3831026387998045,0.0,0.1543209876543209,D16,0.0724,0.0,0.0912888888888888
ABBY_005,ABBY,2.328312082837025,0.8563061687271529,0.2661232902951862,6,6.149244520813227,2.44488245594396,0.7557858209247175,6,1.862391070773204,0.2104120385155836,-0.0489129526135714,6,1.386551168669636,0.5495086615783435,0.1729009621574178,6,0.3355403065118783,0.2647114090971152,-0.0646382175618782,6,1.259202897703896,0.4881356971070843,0.1555202172502227,6,0.5269949305802584,0.0922747773523704,0.0183242033843113,6,0.2933556793335204,0.0523556521153855,0.0112449123686098,6,0.8222080242748445,0.0620168315417218,0.0184892068451961,6,1.131354693293808,0.268873873642374,0.0733812006873003,6,0.5366801590259586,0.4109322174960976,0.1232225606810903,6,4.636110819255312,1.7365642515635735,0.5479911559301874,6,99.89234240849812,0.2637061661165762,-0.0561691781748896,6,,,,,,,,,D16,,,
ABBY_006,ABBY,27.04403849158968,1.249798094646675,0.4308036081708235,7,43.787504945482524,1.064255949918405,0.3420341152676268,7,1.477743275463581,0.0272780131256126,-0.0081068820002451,7,11.67239625964846,0.216263138875494,-0.0355441601290179,7,0.0468862056524293,0.0123832523976344,-0.0025280999451084,7,10.634418044771468,0.1313184666511148,-0.0064546000750767,7,0.4147983828027333,0.0160468410031831,-0.0050533145579988,7,0.2159796583998416,0.0117885817395543,-0.003861671886972,7,0.8616494743951729,0.0134335476859456,-0.0040943649721283,7,3.201227850147656,0.0667694968845724,0.005856469359701,7,2.617748374385493,0.1584607340478283,0.0377928442779303,7,39.31935930252075,1.0239583842571964,0.3518005719763695,7,19.09877095903669,1.6894969962200113,-0.5013216435047932,7,1.0,1.0,1.0,1.0,20.0,0.3195761047953573,0.0,0.1543209876543209,D16,0.0724,0.0,0.0912888888888888
ABBY_007,ABBY,0.9010339466234047,0.3126275952485039,0.0851821913181439,6,1.8341617522140343,1.1438312652294336,0.325592596731756,6,2.0754393599927425,0.1102180598557912,0.0224982501695985,6,0.3352325344264197,0.2828852929157837,0.0802719426675416,6,0.8496939353644848,0.1409868447870364,-0.0395871312559946,6,0.3235039674743478,0.2298260242111706,0.0647506920464614,6,0.3078981142358056,0.1225816153690499,0.0370466392921133,6,0.1675794050901285,0.0661670362430115,0.0196441370427683,6,0.6384073898931601,0.1080546564126889,0.0285330531800594,5,0.269533280815397,0.3811776212400504,,2,0.0428489508816883,0.0363289860527289,0.0113424127338971,5,1.501365661709791,0.7755000387639499,0.2154903574181454,6,100.0,0.0,0.0,6,1.4575692649810903,1.28,0.9027777777777778,2.0,8.0,0.599798900351491,0.1111111111111111,0.2331569664902998,D16,,,
ABBY_008,ABBY,24.112421236116266,4.324823046995458,0.0905157184834827,7,39.74023147885288,6.000786303857755,0.9758043442502876,7,1.724415454836119,0.0877039045170625,-0.0224291591372104,7,10.770467689948246,1.3883583399742097,0.1022033902407338,7,0.1598284724196197,0.0971903106137161,-0.0302232380547948,7,9.284657212666104,1.2852077810479106,0.2561902731718039,7,0.5199955152968566,0.1124039543327453,0.0195702996957322,7,0.2491813376146767,0.0474558231253207,0.0069289302868815,7,0.8040762285822306,0.0176710124351369,0.0017115360527344,7,2.977780721709132,0.1586578442107331,-0.0173296675376723,7,1.7567909812846438,0.3024129057489503,0.0439244762033476,7,35.964502380788325,5.40113055149219,0.4627518778390507,7,39.29411606703486,8.910600422928379,-0.8452426924698615,7,1.0,1.0,1.0,1.0,11.0,0.4672215747316301,0.0,0.1543209876543209,D16,0.0724,0.0,0.0912888888888888
ABBY_009,ABBY,6.47498745696394,0.8451160699011395,0.0847410200152955,7,13.925047481432555,2.52295424627103,0.8641778356530245,7,1.806164382823876,0.1569323200728458,-0.0505654491656432,7,3.930563340562263,0.3901634980552976,0.1336996004636792,7,0.276595719150334,0.253020814505613,-0.0754308668187297,7,3.713866378272791,0.3616331573499186,0.1244091462677699,7,0.5431847822248608,0.0933467770893176,0.0152770301348642,7,0.2922057404929956,0.0492370184860447,0.0089468352195155,7,0.8014730633369513,0.0634305940221044,0.020762483362173,7,1.8187459229261844,0.4237160146614033,-0.0381061716423151,7,0.9489704313566022,0.5619584151355123,0.1763141013046875,7,12.169136873640856,1.3764318258502215,0.4444443010698164,7,86.7962304353714,0.981748128187267,0.2371881197642728,7,1.0,1.0,1.0,1.0,33.0,0.2986934906461988,0.0,0.1543209876543209,D16,0.0724,0.0,0.0912888888888888
ABBY_010,ABBY,29.799840033054352,1.472444232410962,0.4701762017996415,6,41.17247919241587,1.8100249028213653,0.5706426060718038,6,1.3590631373226645,0.0419808661592136,-0.0101233668949293,6,9.927675242225328,0.4800650878015771,-0.0432603048241656,6,0.0655571346675666,0.0282070923651958,-0.0055825394836416,6,7.040441470841567,0.4861500744742829,0.0738776928704717,6,0.2376515207191308,0.0161669262648047,-0.0013965258131856,6,0.1129229501044998,0.0080198695838868,-0.0013346053538439,6,0.7802537356813749,0.0144038062583407,-0.0015078756310369,6,3.00884547829628,0.1233057252808072,0.0140139813656392,6,2.452589850872755,0.2489279942238596,0.0567859550533087,6,37.42267700036367,1.5134401069790266,0.4807809435802957,6,10.354385557274025,2.4352072673194374,-0.5688582001172977,6,1.2289892094880015,1.110769230769231,0.9526315789473684,2.0,19.0,0.3504100343332589,0.1296296296296296,0.2331569664902998,D16,0.1170666666666667,0.0446666666666666,0.2106666666666667
